type, ID, parentID, startX, startY, startZ, endX, endY, endZ, radius, volume, growthVolume, length, growthLength, FittingType,segmentID, parentSegmentID, segmentMedianRadius, segmentGrowthVolume, segmentGrowthLength, branchOrder, reverseBranchOrder, reversePipeRadiusBranchorder, reversePipeAreaBranchorder, branchID, treeID, treeSpecies, translateX, translateY, translatez, gvA, gvB, gvC, glA, glB, glC
cylinder,38,37,2.871085,-2.729288,3.718261,2.85597,-2.705181,3.814802,0.051759,0.000847,0.048523,0.100647,394.839497, ALLOMETRICGROWTHVOLUME,17,16,0.051759,0.047676,394.73885,0,35,28.757608,827,0,0, unknownSpecies,0,0,0,0.01,0.401606,0,0.01,0.401606,0
cylinder,39,38,2.85597,-2.705181,3.814802,2.842581,-2.663463,3.908768,0.051739,0.000872,0.047676,0.103679,394.73885, ALLOMETRICGROWTHVOLUME,17,16,0.051759,0.047676,394.73885,0,35,28.757608,827,0,0, unknownSpecies,0,0,0,0.01,0.401606,0,0.01,0.401606,0
cylinder,40,39,2.842581,-2.663463,3.908768,2.84207,-2.635955,4.0058,0.05172,0.000848,0.046804,0.100857,394.635171, ALLOMETRICGROWTHVOLUME,17,16,0.051759,0.047676,394.73885,0,35,28.757608,827,0,0, unknownSpecies,0,0,0,0.01,0.401606,0,0.01,0.401606,0
cylinder,41,40,2.84207,-2.635955,4.0058,2.833916,-2.605217,4.096725,0.051696,0.000809,0.045941,0.096326,394.15048, ALLOMETRICGROWTHVOLUME,18,17,0.051663,0.043367,393.870385,0,34,28.740216,826,0,0, unknownSpecies,0,0,0,0.01,0.401606,0,0.01,0.401606,0
cylinder,42,41,2.833916,-2.605217,4.096725,2.824597,-2.569648,4.184312,0.058491,0.001021,0.045132,0.094992,394.054154, SPHEREFOLLOWING,18,17,0.051663,0.043367,393.870385,0,34,28.740216,826,0,0, unknownSpecies,0,0,0,0.01,0.401606,0,0.01,0.401606,0
cylinder,43,42,2.824597,-2.569648,4.184312,2.81355,-2.535453,4.265491,0.051663,0.000744,0.044111,0.088777,393.959162, ALLOMETRICGROWTHVOLUME,18,17,0.051663,0.043367,393.870385,0,34,28.740216,826,0,0, unknownSpecies,0,0,0,0.01,0.401606,0,0.01,0.401606,0
cylinder,44,43,2.81355,-2.535453,4.265491,2.799453,-2.505684,4.359259,0.058733,0.001077,0.043367,0.099385,393.870385, SPHEREFOLLOWING,18,17,0.051663,0.043367,393.870385,0,34,28.740216,826,0,0, unknownSpecies,0,0,0,0.01,0.401606,0,0.01,0.401606,0
cylinder,45,44,2.799453,-2.505684,4.359259,2.787656,-2.466842,4.439889,0.051632,0.000756,0.04229,0.090272,393.771, ALLOMETRICGROWTHVOLUME,18,17,0.051663,0.043367,393.870385,0,34,28.740216,826,0,0, unknownSpecies,0,0,0,0.01,0.401606,0,0.01,0.401606,0
cylinder,46,45,2.787656,-2.466842,4.439889,2.777015,-2.438982,4.524231,0.051613,0.000749,0.041534,0.08946,393.680728, ALLOMETRICGROWTHVOLUME,18,17,0.051663,0.043367,393.870385,0,34,28.740216,826,0,0, unknownSpecies,0,0,0,0.01,0.401606,0,0.01,0.401606,0
cylinder,47,46,2.777015,-2.438982,4.524231,2.782482,-2.409681,4.605893,0.051597,0.000727,0.040785,0.086932,393.591269, ALLOMETRICGROWTHVOLUME,18,17,0.051663,0.043367,393.870385,0,34,28.740216,826,0,0, unknownSpecies,0,0,0,0.01,0.401606,0,0.01,0.401606,0
cylinder,48,47,2.782482,-2.409681,4.605893,2.772212,-2.359154,4.700359,0.057755,0.001128,0.040024,0.107621,392.63972, SPHEREFOLLOWING,19,18,0.057755,0.038038,392.445746,0,33,28.7054,824,0,0, unknownSpecies,0,0,0,0.01,0.401606,0,0.01,0.401606,0
cylinder,49,48,2.772212,-2.359154,4.700359,2.765834,-2.31836,4.776201,0.05625,0.000858,0.038896,0.086353,392.532098, SPHEREFOLLOWING,19,18,0.057755,0.038038,392.445746,0,33,28.7054,824,0,0, unknownSpecies,0,0,0,0.01,0.401606,0,0.01,0.401606,0
cylinder,50,49,2.765834,-2.31836,4.776201,2.760978,-2.290319,4.862012,0.058309,0.000966,0.038038,0.090407,392.445746, SPHEREFOLLOWING,19,18,0.057755,0.038038,392.445746,0,33,28.7054,824,0,0, unknownSpecies,0,0,0,0.01,0.401606,0,0.01,0.401606,0
cylinder,51,50,2.760978,-2.290319,4.862012,2.757913,-2.248302,4.951665,0.057943,0.001045,0.037072,0.099058,392.355339, SPHEREFOLLOWING,19,18,0.057755,0.038038,392.445746,0,33,28.7054,824,0,0, unknownSpecies,0,0,0,0.01,0.401606,0,0.01,0.401606,0
cylinder,52,51,2.757913,-2.248302,4.951665,2.762061,-2.217232,5.036923,0.056357,0.000906,0.036027,0.090837,392.256281, SPHEREFOLLOWING,19,18,0.057755,0.038038,392.445746,0,33,28.7054,824,0,0, unknownSpecies,0,0,0,0.01,0.401606,0,0.01,0.401606,0
cylinder,53,52,2.762061,-2.217232,5.036923,2.76263,-2.189894,5.128027,0.05457,0.00089,0.034769,0.09512,382.878308, SPHEREFOLLOWING,20,19,0.05457,0.033879,382.783188,0,32,28.442925,809,0,0, unknownSpecies,0,0,0,0.01,0.401606,0,0.01,0.401606,0
cylinder,54,53,2.76263,-2.189894,5.128027,2.773066,-2.180865,5.214409,0.050312,0.000696,0.033879,0.087478,382.783188, ALLOMETRICGROWTHVOLUME,20,19,0.05457,0.033879,382.783188,0,32,28.442925,809,0,0, unknownSpecies,0,0,0,0.01,0.401606,0,0.01,0.401606,0
cylinder,55,54,2.773066,-2.180865,5.214409,2.770226,-2.127205,5.279594,0.049398,0.000648,0.032591,0.084478,368.126916, ALLOMETRICGROWTHVOLUME,21,20,0.049398,0.032591,368.126916,0,31,27.92848,780,0,0, unknownSpecies,0,0,0,0.01,0.401606,0,0.01,0.401606,0
cylinder,56,55,2.770226,-2.127205,5.279594,2.744097,-2.099984,5.37129,0.046322,0.000668,0.029481,0.099156,323.084068, ALLOMETRICGROWTHVOLUME,22,21,0.046295,0.028812,322.984913,0,30,26.210685,687,0,0, unknownSpecies,0,0,0,0.01,0.401606,0,0.01,0.401606,0
cylinder,57,56,2.744097,-2.099984,5.37129,2.739504,-2.078674,5.428195,0.046295,0.00041,0.028812,0.060937,322.984913, ALLOMETRICGROWTHVOLUME,22,21,0.046295,0.028812,322.984913,0,30,26.210685,687,0,0, unknownSpecies,0,0,0,0.01,0.401606,0,0.01,0.401606,0
cylinder,58,57,2.739504,-2.078674,5.428195,2.759114,-2.08949,5.505055,0.046278,0.000539,0.028402,0.080057,322.923975, ALLOMETRICGROWTHVOLUME,22,21,0.046295,0.028812,322.984913,0,30,26.210685,687,0,0, unknownSpecies,0,0,0,0.01,0.401606,0,0.01,0.401606,0
cylinder,59,58,2.759114,-2.08949,5.505055,2.802411,-2.023782,5.62647,0.03153,0.000452,0.015493,0.144685,190.975918, ALLOMETRICGROWTHVOLUME,23,22,0.031457,0.013964,190.485352,0,29,19.924859,397,0,0, unknownSpecies,0,0,0,0.01,0.401606,0,0.01,0.401606,0
cylinder,60,59,2.802411,-2.023782,5.62647,2.8123,-1.996402,5.702409,0.031506,0.000254,0.015041,0.081327,190.831233, ALLOMETRICGROWTHVOLUME,23,22,0.031457,0.013964,190.485352,0,29,19.924859,397,0,0, unknownSpecies,0,0,0,0.01,0.401606,0,0.01,0.401606,0
cylinder,61,60,2.8123,-1.996402,5.702409,2.819024,-1.973316,5.792579,0.031494,0.000291,0.014788,0.093321,190.749905, ALLOMETRICGROWTHVOLUME,23,22,0.031457,0.013964,190.485352,0,29,19.924859,397,0,0, unknownSpecies,0,0,0,0.01,0.401606,0,0.01,0.401606,0
cylinder,62,61,2.819024,-1.973316,5.792579,2.842938,-1.942989,5.848022,0.031483,0.00021,0.014497,0.067569,190.656584, ALLOMETRICGROWTHVOLUME,23,22,0.031457,0.013964,190.485352,0,29,19.924859,397,0,0, unknownSpecies,0,0,0,0.01,0.401606,0,0.01,0.401606,0
cylinder,63,62,2.842938,-1.942989,5.848022,2.8289,-1.920755,5.948295,0.031473,0.000323,0.014286,0.103663,190.589015, ALLOMETRICGROWTHVOLUME,23,22,0.031457,0.013964,190.485352,0,29,19.924859,397,0,0, unknownSpecies,0,0,0,0.01,0.401606,0,0.01,0.401606,0
cylinder,64,63,2.8289,-1.920755,5.948295,2.832519,-1.896951,6.030394,0.031457,0.000266,0.013964,0.085557,190.485352, ALLOMETRICGROWTHVOLUME,23,22,0.031457,0.013964,190.485352,0,29,19.924859,397,0,0, unknownSpecies,0,0,0,0.01,0.401606,0,0.01,0.401606,0
cylinder,65,64,2.832519,-1.896951,6.030394,2.842084,-1.874898,6.114179,0.031447,0.000271,0.013698,0.087165,190.399795, ALLOMETRICGROWTHVOLUME,23,22,0.031457,0.013964,190.485352,0,29,19.924859,397,0,0, unknownSpecies,0,0,0,0.01,0.401606,0,0.01,0.401606,0
cylinder,66,65,2.842084,-1.874898,6.114179,2.843654,-1.854238,6.193289,0.031434,0.000254,0.013427,0.081778,190.31263, ALLOMETRICGROWTHVOLUME,23,22,0.031457,0.013964,190.485352,0,29,19.924859,397,0,0, unknownSpecies,0,0,0,0.01,0.401606,0,0.01,0.401606,0
cylinder,67,66,2.843654,-1.854238,6.193289,2.85331,-1.826781,6.260854,0.031421,0.000228,0.013173,0.073568,190.230852, ALLOMETRICGROWTHVOLUME,23,22,0.031457,0.013964,190.485352,0,29,19.924859,397,0,0, unknownSpecies,0,0,0,0.01,0.401606,0,0.01,0.401606,0
cylinder,68,67,2.85331,-1.826781,6.260854,2.849366,-1.794975,6.301873,0.031406,0.000161,0.012945,0.052055,190.157284, ALLOMETRICGROWTHVOLUME,23,22,0.031457,0.013964,190.485352,0,29,19.924859,397,0,0, unknownSpecies,0,0,0,0.01,0.401606,0,0.01,0.401606,0
cylinder,69,68,2.849366,-1.794975,6.301873,2.835104,-1.785029,6.352914,0.031382,0.000167,0.012784,0.053921,190.105229, ALLOMETRICGROWTHVOLUME,23,22,0.031457,0.013964,190.485352,0,29,19.924859,397,0,0, unknownSpecies,0,0,0,0.01,0.401606,0,0.01,0.401606,0
cylinder,70,69,2.835104,-1.785029,6.352914,2.807637,-1.765298,6.415986,0.029164,0.000191,0.011729,0.071567,175.271185, ALLOMETRICGROWTHVOLUME,24,23,0.029164,0.011729,175.271185,0,28,19.235384,370,0,0, unknownSpecies,0,0,0,0.01,0.401606,0,0.01,0.401606,0
cylinder,71,70,2.807637,-1.765298,6.415986,2.784599,-1.757641,6.602225,0.029106,0.0005,0.011514,0.187814,174.69287, ALLOMETRICGROWTHVOLUME,25,24,0.029106,0.011014,174.505056,0,27,19.183326,368,0,0, unknownSpecies,0,0,0,0.01,0.401606,0,0.01,0.401606,0
cylinder,72,71,2.784599,-1.757641,6.602225,2.853919,-1.758743,6.700082,0.029064,0.000318,0.011014,0.119926,174.505056, ALLOMETRICGROWTHVOLUME,25,24,0.029106,0.011014,174.505056,0,27,19.183326,368,0,0, unknownSpecies,0,0,0,0.01,0.401606,0,0.01,0.401606,0
